id,owned_by,created
gpt-4o-mini,system,2024-07-17 08:32:21
gpt-4o-mini-2024-07-18,system,2024-07-17 08:31:57
gpt-4o-2024-05-13,system,2024-05-11 04:08:52
gpt-4o,system,2024-05-11 03:50:49
gpt-4-turbo-2024-04-09,system,2024-04-09 03:41:17
gpt-4-turbo,system,2024-04-06 08:57:21
gpt-3.5-turbo-0125,system,2024-01-24 07:19:18
gpt-4-turbo-preview,system,2024-01-24 04:22:57
gpt-4-0125-preview,system,2024-01-24 04:20:12
text-embedding-3-large,system,2024-01-23 04:53:00
text-embedding-3-small,system,2024-01-23 03:43:17
tts-1-hd-1106,system,2023-11-04 08:18:53
tts-1-1106,system,2023-11-04 08:14:01
tts-1-hd,system,2023-11-04 06:13:35
gpt-3.5-turbo-1106,system,2023-11-03 06:15:48
gpt-4-1106-preview,system,2023-11-03 05:33:26
dall-e-2,system,2023-11-01 09:22:57
dall-e-3,system,2023-11-01 05:46:29
gpt-3.5-turbo-instruct-0914,system,2023-09-08 06:34:32
gpt-3.5-turbo-instruct,system,2023-08-25 03:23:47
babbage-002,system,2023-08-22 01:16:55
davinci-002,system,2023-08-22 01:11:41
gpt-4,openai,2023-06-28 01:13:31
gpt-4-0613,openai,2023-06-13 01:54:56
gpt-3.5-turbo-16k,openai-internal,2023-05-11 07:35:02
tts-1,openai-internal,2023-04-20 06:49:11
gpt-3.5-turbo,openai,2023-03-01 03:56:42
whisper-1,openai-internal,2023-02-28 06:13:04
text-embedding-ada-002,openai-internal,2022-12-17 04:01:39
